timestep_1,region_1,region_2,technology_1,technology_2,technology_3,parameter,value,comment
,,,,,,rateDisc,0.02,sets default value for discount rate
"all(2030,2040)",West,WestSouth,,,,rateDisc,0.015,sets specific discount rate for West < WestSouth and 2030 and 2040
"all(2030,2040)",East,,,,,rateDisc,0.03,sets specific discount rate for East and 2030 and 2040
,,,,,,rateInvConv,0.02,
,,,,,,rateInvStIn,0.02,
,,,,,,rateInvStOut,0.02,
,,,,,,rateInvStSize,0.02,
,,,,,,rateInvExc,0.02,
all,East,EastNorth,wind,,,capaConvUp,150,
all,East,EastNorth,solar,openspace,,capaConvUp,40,
all,East,EastNorth,solar,rooftop,,capaConvUp,245.452141,
all,East,EastSouth,wind,,,capaConvUp,80,
all,East,EastSouth,solar,openspace,,capaConvUp,63,
all,East,EastSouth,solar,rooftop,,capaConvUp,147.2712846,
all,West,WestNorth,wind,,,capaConvUp,130,
all,West,WestNorth,solar,openspace,,capaConvUp,67,
all,West,WestNorth,solar,rooftop,,capaConvUp,235.9754503,
all,West,WestSouth,wind,,,capaConvUp,120,
all,West,WestSouth,solar,openspace,,capaConvUp,50,
all,West,WestSouth,solar,rooftop,,capaConvUp,141.5852702,
2020,East,EastNorth,coalPlant,,,capaConvResi,60,
2030,East,EastNorth,coalPlant,,,capaConvResi,35,
2020,East,"all(EastNorth,EastSouth)",gasBoiler,,,capaConvResi,10,
2030,East,"all(EastNorth,EastSouth)",gasBoiler,,,capaConvResi,8,
2020,West,"all(WestNorth,WestSouth)",gasBoiler,,,capaConvResi,14,
2030,West,"all(WestNorth,WestSouth)",gasBoiler,,,capaConvResi,6,
all,West,WestSouth,hydro,,,capaStInResi,8,
,,,hydro,,,stOutToStIn,1,
,,,hydro,,,sizeToStIn,7,
all,East,EastNorth,gasStorage,,,capaStInResi,10,
all,East,EastSouth,gasStorage,,,capaStInResi,9,
all,East,EastNorth,gasStorage,,,capaStOutResi,10,
all,East,EastSouth,gasStorage,,,capaStOutResi,8,
all,East,EastNorth,gasStorage,,,capaStSizeResi,100,
all,East,EastSouth,gasStorage,,,capaStSizeResi,130,
,,,solar,rooftop,photovoltaic,stOutToStIn,1,
,,,solar,rooftop,solarThermal,stOutToStIn,1,
